epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57091,0.93072,3.00807,1.18653,0.00253,0.79661,0.73061,0.64226,0.55766,3.02588,0.91146,0.00040008,0.00040008,0.00040008
2,7.5433,0.78611,1.54186,1.03793,1,0.54511,0.7068,0.53735,0.77301,2.80379,1.15154,0.000808743,0.000808743,0.000808743
3,10.5231,0.79618,1.38865,1.03394,0.96151,0.6637,0.77094,0.67207,0.7651,1.84708,1.1633,0.00120916,0.00120916,0.00120916
4,13.5528,0.80461,1.29643,1.03674,0.96948,0.70445,0.79391,0.67185,0.77145,1.53848,1.10733,0.00160132,0.00160132,0.00160132
5,16.459,0.75466,1.05649,1.01265,0.86062,0.69716,0.838,0.7131,0.72376,1.83429,1.02696,0.00160099,0.00160099,0.00160099
6,19.3671,0.73623,1.02225,1.01645,0.97995,0.74031,0.8608,0.71822,0.63038,1.24163,0.97073,0.00158448,0.00158448,0.00158448
7,22.2089,0.73307,0.9065,1.00546,0.94308,0.73969,0.79039,0.71064,0.70307,1.275,1.05507,0.00156798,0.00156798,0.00156798
8,25.1284,0.74199,0.87569,1.01258,0.85901,0.92194,0.93982,0.751,0.6934,1.10129,1.01739,0.00155148,0.00155148,0.00155148
9,28.092,0.72126,0.84392,0.9918,0.94288,0.84832,0.9279,0.73035,0.90316,0.80165,1.30055,0.00153497,0.00153497,0.00153497
10,31.269,0.72645,0.78496,1.02042,0.9569,0.83845,0.90591,0.75937,0.59127,0.72318,1.0259,0.00151847,0.00151847,0.00151847
11,34.2944,0.70398,0.73665,0.99314,0.99564,0.73262,0.86458,0.70145,0.8354,0.77454,1.19208,0.00150197,0.00150197,0.00150197
12,37.3081,0.6625,0.66057,0.97207,0.93157,0.90678,0.94181,0.7699,0.57839,0.59221,0.96993,0.00148546,0.00148546,0.00148546
13,40.3709,0.67822,0.64906,0.98777,0.96558,0.9322,0.95526,0.79189,0.55852,0.55205,0.9702,0.00146896,0.00146896,0.00146896
14,43.3661,0.68171,0.64969,0.98313,0.97927,0.92937,0.96523,0.79325,0.54883,0.49617,0.94641,0.00145246,0.00145246,0.00145246
15,46.5479,0.68515,0.61632,0.96927,0.95421,0.94068,0.95596,0.78211,0.55384,0.46394,0.96742,0.00143595,0.00143595,0.00143595
16,49.5812,0.66858,0.58402,0.99876,0.95425,0.8905,0.96769,0.78277,0.63894,0.67293,1.00813,0.00141945,0.00141945,0.00141945
17,52.6277,0.60753,0.53292,0.94792,0.97151,0.91525,0.98249,0.80506,0.51432,0.44826,0.91536,0.00140295,0.00140295,0.00140295
18,55.7886,0.66752,0.57334,0.99068,0.93827,0.94915,0.97234,0.8066,0.5324,0.4476,0.93142,0.00138644,0.00138644,0.00138644
19,58.9149,0.66073,0.54286,0.98722,0.97237,0.9661,0.96955,0.80102,0.52897,0.42481,0.92449,0.00136994,0.00136994,0.00136994
20,61.9723,0.6636,0.54632,0.9766,0.95122,0.90404,0.95996,0.7999,0.48803,0.43267,0.90275,0.00135344,0.00135344,0.00135344
21,65.1469,0.61215,0.4961,0.96027,0.94308,0.9661,0.97013,0.81079,0.52533,0.41975,0.92073,0.00133693,0.00133693,0.00133693
22,68.2268,0.58761,0.47285,0.94287,0.98534,0.83051,0.91897,0.78776,0.50807,0.42819,0.90141,0.00132043,0.00132043,0.00132043
23,71.2968,0.62245,0.49193,0.96495,0.98586,0.87284,0.94025,0.80615,0.44359,0.40375,0.89765,0.00130393,0.00130393,0.00130393
24,74.4899,0.60251,0.48246,0.96887,0.96454,0.95763,0.97412,0.81796,0.46846,0.38572,0.90976,0.00128742,0.00128742,0.00128742
25,77.5801,0.6135,0.46143,0.9521,0.97518,0.94903,0.98042,0.83647,0.51417,0.42316,0.9585,0.00127092,0.00127092,0.00127092
26,80.6933,0.60326,0.45969,0.94837,0.9715,0.97458,0.98779,0.81813,0.46374,0.36997,0.90046,0.00125442,0.00125442,0.00125442
27,83.7974,0.57225,0.42399,0.9427,0.96451,0.99044,0.99165,0.85009,0.46153,0.3666,0.91457,0.00123791,0.00123791,0.00123791
28,86.8941,0.54131,0.41727,0.94281,0.97087,0.97939,0.99123,0.85175,0.41707,0.34189,0.89691,0.00122141,0.00122141,0.00122141
29,89.9089,0.57515,0.42728,0.94322,0.94664,0.9661,0.96228,0.83371,0.46298,0.37519,0.90128,0.00120491,0.00120491,0.00120491
30,92.9515,0.59024,0.41986,0.9362,0.94447,0.94197,0.96415,0.83491,0.41473,0.34221,0.90843,0.0011884,0.0011884,0.0011884
31,96.0086,0.55538,0.40213,0.95631,0.97016,0.95507,0.97507,0.84546,0.42953,0.32601,0.90904,0.0011719,0.0011719,0.0011719
