epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59469,0.94997,3.59523,1.25902,0.00612,0.83673,0.7244,0.62739,0.45338,2.99103,0.8756,0.00020004,0.00020004,0.00020004
2,6.8106,0.73573,1.95488,1.02621,0.0049,0.68367,0.51123,0.4297,0.55336,3.01495,0.96678,0.000413312,0.000413312,0.000413312
3,10.0658,0.71864,1.31662,1.01133,0.00583,0.88776,0.4801,0.32943,0.73528,2.91027,1.08788,0.000623008,0.000623008,0.000623008
4,13.2364,0.72969,1.25016,1.00557,0.84489,0.38776,0.45987,0.36709,0.62902,2.84579,0.96882,0.000829128,0.000829128,0.000829128
5,16.1988,0.7253,1.14175,0.99981,0.99665,0.38776,0.74755,0.62713,0.63215,2.28843,0.9458,0.00103167,0.00103167,0.00103167
6,19.2,0.70408,1.11564,0.99932,0.98527,0.68235,0.85242,0.70263,0.66269,1.85102,1.00845,0.00123064,0.00123064,0.00123064
7,22.4162,0.75246,1.05461,1.00326,0.91319,0.75143,0.82967,0.5831,0.74175,1.65416,1.1033,0.00142604,0.00142604,0.00142604
8,25.3698,0.71268,0.96701,0.98607,0.85249,0.58975,0.67756,0.52355,1.04665,1.64107,1.32219,0.00157073,0.00157073,0.00157073
9,28.3274,0.72055,0.89053,0.99958,0.69709,0.51664,0.59148,0.38564,1.03368,2.26182,1.396,0.00155698,0.00155698,0.00155698
10,31.3521,0.72759,0.88583,1.00603,0.7375,0.65306,0.7244,0.5491,0.90005,1.44196,1.16831,0.00154323,0.00154323,0.00154323
11,34.2618,0.68331,0.7634,0.97234,0.87454,0.71129,0.81761,0.69122,0.62785,1.02859,0.98884,0.00152947,0.00152947,0.00152947
12,37.2485,0.71034,0.7346,0.99259,0.96322,0.80182,0.92731,0.7457,0.72812,0.91959,1.13217,0.00151572,0.00151572,0.00151572
13,40.1605,0.73772,0.75831,1.01283,0.86429,0.77985,0.85551,0.63904,0.87795,1.04318,1.21446,0.00150197,0.00150197,0.00150197
14,43.2525,0.74149,0.73319,1.03215,0.92639,0.89893,0.95102,0.71207,0.72311,0.86688,1.10811,0.00148821,0.00148821,0.00148821
15,46.2788,0.7021,0.63596,0.98929,0.95323,0.87755,0.94678,0.80448,0.57021,0.79402,0.96051,0.00147446,0.00147446,0.00147446
16,49.2206,0.71259,0.6252,1.02409,0.96126,0.95918,0.97386,0.77676,0.55387,0.73994,0.93199,0.00146071,0.00146071,0.00146071
17,52.1573,0.68607,0.59179,0.99227,0.96499,0.95918,0.97128,0.80284,0.54438,0.51437,0.91145,0.00144696,0.00144696,0.00144696
18,55.233,0.6827,0.58812,0.98223,0.98929,0.94276,0.98347,0.83664,0.51399,0.45519,0.90536,0.0014332,0.0014332,0.0014332
19,58.2224,0.64224,0.55083,0.96245,0.97802,0.94898,0.98825,0.84025,0.47825,0.47031,0.89637,0.00141945,0.00141945,0.00141945
20,61.2112,0.65439,0.53223,0.98762,1,0.93793,0.98609,0.82025,0.50506,0.46574,0.89997,0.0014057,0.0014057,0.0014057
